index,Order_ID,Date,Status,Fulfilment,Sales_Channel ,ship_service_level,Style,SKU,Category,Size,ASIN,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B
287,406-8271099-5133911,04-16-22,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-L,kurta,L,B099FBM4FZ,Shipped,1,INR,329,BENGALURU,KARNATAKA,562125,IN,FALSE
288,405-3441326-1516368,04-15-22,Shipped,Amazon,Amazon.in,Expedited,J0118,J0118-TP-XXXL,Top,3XL,B08N43MK22,Shipped,1,INR,518,KOLKATA 700034,WEST BENGAL,700034,IN,FALSE
289,408-8009772-6580317,04-14-22,Shipped,Amazon,Amazon.in,Expedited,JNE3654,JNE3654-TP-XS,Top,XS,B0986ZFY2S,Shipped,1,INR,387,kolkata,WEST BENGAL,700045,IN,FALSE
290,402-4774686-7773937,04-13-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3652,JNE3652-TP-N-XL,Top,XL,B08ZHXGSW3,Shipped,1,INR,339,HYDERABAD,TELANGANA,500001,IN,FALSE
291,402-2860689-5652319,04-12-2022,Shipped,Amazon,Amazon.in,Expedited,J0339,J0339-DR-L,Western Dress,L,B098315N2Z,Shipped,1,INR,744,SEONI,MADHYA PRADESH,480661,IN,FALSE
292,406-6386989-1689108,04-11-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET303,SET303-KR-NP-XL,Set,XL,B09K3F7D9H,Shipped,1,INR,888,BARUIPUR,WEST BENGAL,700145,IN,FALSE
293,408-9720884-9553122,04-10-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3396,JNE3396-KR-XXXL,kurta,3XL,B083ZZ8869,Shipped,1,INR,487,KENDRAPARA,ODISHA,754211,IN,FALSE
294,408-6428766-2839536,04-09-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3256,JNE3256-KR-XXXL,kurta,3XL,B07RSWN1C4,Shipped,1,INR,487,KENDRAPARA,ODISHA,754211,IN,FALSE
295,408-8641795-6914711,04-08-2022,Shipped,Amazon,Amazon.in,Expedited,J0340,J0340-TP-XS,Top,XS,B0987184SL,Shipped,1,INR,563,GURUGRAM,HARYANA,122001,IN,FALSE
296,402-9475978-1434754,04-07-2022,Shipped,Amazon,Amazon.in,Expedited,J0335,J0335-DR-S,Western Dress,S,B09831NCG7,Shipped,1,INR,859,VIJAYAWADA,ANDHRA PRADESH,521225,IN,FALSE
297,407-5776821-9327552,04-06-2022,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-L,Set,L,B0894YB3B1,Shipped,1,INR,1133,MUMBAI,MAHARASHTRA,400072,IN,FALSE
298,171-6845071-0336346,04-05-2022,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XS,Set,XS,B08XQBXFPP,Shipped,1,INR,788,NASHIK,MAHARASHTRA,422003,IN,FALSE
